# time (s)	h_+ (strain)	h_x (strain)	h_abs (strain)	 h_arg (rad)
-1.381717682	-9.556801408005767198e-20	-7.632568564728496395e-20	1.223064005060007699e-19	3.291933095372816069e+02
-1.381656647	-9.498001956943760204e-20	-7.705813370858280164e-20	1.223076452559715370e-19	3.291856299624610642e+02
-1.381595612	-9.438640222430480386e-20	-7.778606348773189966e-20	1.223088901011112415e-19	3.291779502672955005e+02
-1.381534576	-9.378719657436316088e-20	-7.850943165564795445e-20	1.223101349037400628e-19	3.291702704518245355e+02
-1.381473541	-9.318243756722343309e-20	-7.922819522653712690e-20	1.223113796415679860e-19	3.291625905160138359e+02
-1.381412506	-9.257216074656307975e-20	-7.994231170338591810e-20	1.223126246377242389e-19	3.291549104598695408e+02
-1.381351471	-9.195640136248515963e-20	-8.065173832440430538e-20	1.223138693946301834e-19	3.291472302834094421e+02
-1.381290436	-9.133519566353235825e-20	-8.135643318382958089e-20	1.223151143043682264e-19	3.291395499866154069e+02
-1.381229401	-9.070857979176267042e-20	-8.205635427458663557e-20	1.223163591866396676e-19	3.291318695694833991e+02
-1.381168365	-9.007659034186089834e-20	-8.275145997416623591e-20	1.223176040293116058e-19	3.291241890320379753e+02
-1.381107330	-8.943926429681378310e-20	-8.344170900960207217e-20	1.223188489170757993e-19	3.291165083742620254e+02
-1.381046295	-8.879663881993498093e-20	-8.412706026294199970e-20	1.223200937467048344e-19	3.291088275961392355e+02
-1.380985260	-8.814875160190986324e-20	-8.480747309494255139e-20	1.223213387014898973e-19	3.291011466976819406e+02
-1.380924225	-8.749564035726120489e-20	-8.548290688061723341e-20	1.223225835661079998e-19	3.290934656788867301e+02
-1.380863190	-8.683734341587356561e-20	-8.615332157404498420e-20	1.223238285444302377e-19	3.290857845397640062e+02
-1.380802154	-8.617389910955229525e-20	-8.681867712327990373e-20	1.223250734117074718e-19	3.290781032803069479e+02
-1.380741119	-8.550534638949491009e-20	-8.747893408299813915e-20	1.223263183844140832e-19	3.290704219004922493e+02
-1.380680084	-8.483172419748987994e-20	-8.813405297647944804e-20	1.223275632242377155e-19	3.290627404003591892e+02
-1.380619049	-8.415307208384294522e-20	-8.878399495117969217e-20	1.223288081387191795e-19	3.290550587798727520e+02
-1.380558014	-8.346942974688600332e-20	-8.942872129390309535e-20	1.223300531126057118e-19	3.290473770390429991e+02
-1.380496979	-8.278083713983145755e-20	-9.006819354916746637e-20	1.223312980670996945e-19	3.290396951778699304e+02
-1.380435944	-8.208733460471462618e-20	-9.070237366663260745e-20	1.223325430589417199e-19	3.290320131963537733e+02
-1.380374908	-8.138896269327725023e-20	-9.133122381699006628e-20	1.223337880235743034e-19	3.290243310944718473e+02
-1.380313873	-8.068576230160160030e-20	-9.195470652507880355e-20	1.223350329640039178e-19	3.290166488722774147e+02
-1.380252838	-7.997777468782531259e-20	-9.257278473517285788e-20	1.223362780112310180e-19	3.290089665297078341e+02
-1.380191803	-7.926504121952087759e-20	-9.318542148408392764e-20	1.223375230119472230e-19	3.290012840668100580e+02
-1.380130768	-7.854760363144947691e-20	-9.379258023464592695e-20	1.223387679491492678e-19	3.289936014835432729e+02
-1.380069733	-7.782550404666732178e-20	-9.439422488769717085e-20	1.223400129649616339e-19	3.289859187799191318e+02
-1.380008697	-7.709878473484295527e-20	-9.499031950835830421e-20	1.223412579953698528e-19	3.289782359559546876e+02
-1.379947662	-7.636748831148272818e-20	-9.558082857465127230e-20	1.223425030887521289e-19	3.289705530116379464e+02
-1.379886627	-7.563165755888096796e-20	-9.616571675781250040e-20	1.223437481224425176e-19	3.289628699469499225e+02
-1.379825592	-7.489133562110820419e-20	-9.674494915772009886e-20	1.223449931081910692e-19	3.289551867619196628e+02
-1.379764557	-7.414656597165416114e-20	-9.731849129339202298e-20	1.223462381645258439e-19	3.289475034565302849e+02
-1.379703522	-7.339739226914958090e-20	-9.788630891125055066e-20	1.223474832768544800e-19	3.289398200307754792e+02
-1.379642487	-7.264385835103832771e-20	-9.844836797027522831e-20	1.223487282816475898e-19	3.289321364846753113e+02
-1.379581451	-7.188600854388672340e-20	-9.900463508403052738e-20	1.223499734061834680e-19	3.289244528181855003e+02
-1.379520416	-7.112388719053525803e-20	-9.955507685747367362e-20	1.223512184540451381e-19	3.289167690313534536e+02
-1.379459381	-7.035753909963041576e-20	-1.000996605399014362e-19	1.223524635974262890e-19	3.289090851241489304e+02
-1.379398346	-6.958700917573387999e-20	-1.006383534975185163e-19	1.223537087329810864e-19	3.289014010965715329e+02
-1.379337311	-6.881234261581109419e-20	-1.011711234902364355e-19	1.223549538210547534e-19	3.288937169486467837e+02
